101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.197000		0.050000		-0.016399
0.198000		0.050000		-0.015909
0.199000		0.050000		-0.015437
0.200000		0.050000		-0.014983
0.100000		0.060000		-2.498355
0.101000		0.060000		-2.282752
0.102000		0.060000		-2.088921
0.103000		0.060000		-1.914363
0.104000		0.060000		-1.756901
0.105000		0.060000		-1.614630
0.106000		0.060000		-1.485881
0.107000		0.060000		-1.369190
0.108000		0.060000		-1.263271
0.109000		0.060000		-1.166989
0.110000		0.060000		-1.079344
0.111000		0.060000		-0.999452
0.112000		0.060000		-0.926528
0.113000		0.060000		-0.859879
0.114000		0.060000		-0.798887
0.115000		0.060000		-0.743003
0.116000		0.060000		-0.691737
0.117000		0.060000		-0.644652
0.118000		0.060000		-0.601358
0.119000		0.060000		-0.561505
0.120000		0.060000		-0.524779
0.121000		0.060000		-0.490899
0.122000		0.060000		-0.459612
0.123000		0.060000		-0.430691
0.124000		0.060000		-0.403929
0.125000		0.060000		-0.379142
0.126000		0.060000		-0.356162
0.127000		0.060000		-0.334838
0.128000		0.060000		-0.315032
0.129000		0.060000		-0.296621
0.130000		0.060000		-0.279492
0.131000		0.060000		-0.263541
0.132000		0.060000		-0.248676
0.133000		0.060000		-0.234811
0.134000		0.060000		-0.221869
0.135000		0.060000		-0.209780
0.136000		0.060000		-0.198477
0.137000		0.060000		-0.187904
0.138000		0.060000		-0.178004
0.139000		0.060000		-0.168729
0.140000		0.060000		-0.160034
0.141000		0.060000		-0.151876
0.142000		0.060000		-0.144217
0.143000		0.060000		-0.137023
0.144000		0.060000		-0.130260
0.145000		0.060000		-0.123898
0.146000		0.060000		-0.117910
0.147000		0.060000		-0.112272
0.148000		0.060000		-0.106958
0.149000		0.060000		-0.101948
0.150000		0.060000		-0.097221
0.151000		0.060000		-0.092759
0.152000		0.060000		-0.088546
0.153000		0.060000		-0.084563
0.154000		0.060000		-0.080798
0.155000		0.060000		-0.077237
0.156000		0.060000		-0.073866
0.157000		0.060000		-0.070673
0.158000		0.060000		-0.067649
0.159000		0.060000		-0.064782
0.160000		0.060000		-0.062063
0.161000		0.060000		-0.059484
0.162000		0.060000		-0.057035
0.163000		0.060000		-0.054710
0.164000		0.060000		-0.052500
0.165000		0.060000		-0.050400
0.166000		0.060000		-0.048403
0.167000		0.060000		-0.046503
0.168000		0.060000		-0.044695
0.169000		0.060000		-0.042973
0.170000		0.060000		-0.041332
0.171000		0.060000		-0.039769
0.172000		0.060000		-0.038279
0.173000		0.060000		-0.036858
0.174000		0.060000		-0.035502
0.175000		0.060000		-0.034208
0.176000		0.060000		-0.032972
0.177000		0.060000		-0.031791
0.178000		0.060000		-0.030663
0.179000		0.060000		-0.029585
0.180000		0.060000		-0.028554
0.181000		0.060000		-0.027568
0.182000		0.060000		-0.026624
0.183000		0.060000		-0.025721
0.184000		0.060000		-0.024856
0.185000		0.060000		-0.024027
0.186000		0.060000		-0.023233
0.187000		0.060000		-0.022472
0.188000		0.060000		-0.021742
0.189000		0.060000		-0.021042
0.190000		0.060000		-0.020371
0.191000		0.060000		-0.019726
0.192000		0.060000		-0.019107
0.193000		0.060000		-0.018513
0.194000		0.060000		-0.017942
0.195000		0.060000		-0.017393
0.196000		0.060000		-0.016866
0.197000		0.060000		-0.016359
0.198000		0.060000		-0.015871
0.199000		0.060000		-0.015402
0.200000		0.060000		-0.014950
0.100000		0.070000		-2.372792
0.101000		0.070000		-2.170702
0.102000		0.070000		-1.988791
0.103000		0.070000		-1.824767
0.104000		0.070000		-1.676626
0.105000		0.070000		-1.542616
0.106000		0.070000		-1.421201
0.107000		0.070000		-1.311030
0.108000		0.070000		-1.210914
0.109000		0.070000		-1.119805
0.110000		0.070000		-1.036777
0.111000		0.070000		-0.961011
0.112000		0.070000		-0.891779
0.113000		0.070000		-0.828436
0.114000		0.070000		-0.770410
0.115000		0.070000		-0.717188
0.116000		0.070000		-0.668315
0.117000		0.070000		-0.623383
0.118000		0.070000		-0.582028
0.119000		0.070000		-0.543923
0.120000		0.070000		-0.508774
0.121000		0.070000		-0.476319
0.122000		0.070000		-0.446320
0.123000		0.070000		-0.418563
0.124000		0.070000		-0.392857
0.125000		0.070000		-0.369026
0.126000		0.070000		-0.346914
0.127000		0.070000		-0.326377
0.128000		0.070000		-0.307288
0.129000		0.070000		-0.289527
0.130000		0.070000		-0.272989
0.131000		0.070000		-0.257578
0.132000		0.070000		-0.243203
0.133000		0.070000		-0.229786
0.134000		0.070000		-0.217253
0.135000		0.070000		-0.205536
0.136000		0.070000		-0.194575
0.137000		0.070000		-0.184312
0.138000		0.070000		-0.174698
0.139000		0.070000		-0.165683
0.140000		0.070000		-0.157227
0.141000		0.070000		-0.149288
0.142000		0.070000		-0.141829
0.143000		0.070000		-0.134819
0.144000		0.070000		-0.128224
0.145000		0.070000		-0.122018
0.146000		0.070000		-0.116173
0.147000		0.070000		-0.110665
0.148000		0.070000		-0.105472
0.149000		0.070000		-0.100572
0.150000		0.070000		-0.095948
0.151000		0.070000		-0.091580
0.152000		0.070000		-0.087453
0.153000		0.070000		-0.083550
0.154000		0.070000		-0.079859
0.155000		0.070000		-0.076365
0.156000		0.070000		-0.073057
0.157000		0.070000		-0.069923
0.158000		0.070000		-0.066952
0.159000		0.070000		-0.064134
0.160000		0.070000		-0.061461
0.161000		0.070000		-0.058924
0.162000		0.070000		-0.056515
0.163000		0.070000		-0.054226
0.164000		0.070000		-0.052050
0.165000		0.070000		-0.049981
0.166000		0.070000		-0.048013
0.167000		0.070000		-0.046139
0.168000		0.070000		-0.044356
0.169000		0.070000		-0.042657
0.170000		0.070000		-0.041038
0.171000		0.070000		-0.039495
0.172000		0.070000		-0.038023
0.173000		0.070000		-0.036619
0.174000		0.070000		-0.035279
0.175000		0.070000		-0.034000
0.176000		0.070000		-0.032778
0.177000		0.070000		-0.031610
0.178000		0.070000		-0.030494
0.179000		0.070000		-0.029427
0.180000		0.070000		-0.028407
0.181000		0.070000		-0.027430
0.182000		0.070000		-0.026495
0.183000		0.070000		-0.025600
0.184000		0.070000		-0.024743
0.185000		0.070000		-0.023922
0.186000		0.070000		-0.023135
0.187000		0.070000		-0.022380
0.188000		0.070000		-0.021656
0.189000		0.070000		-0.020962
0.190000		0.070000		-0.020295
0.191000		0.070000		-0.019655
0.192000		0.070000		-0.019041
0.193000		0.070000		-0.018451
0.194000		0.070000		-0.017884
0.195000		0.070000		-0.017339
0.196000		0.070000		-0.016815
0.197000		0.070000		-0.016311
0.198000		0.070000		-0.015827
0.199000		0.070000		-0.015360
0.200000		0.070000		-0.014912
0.100000		0.080000		-2.240821
0.101000		0.080000		-2.052713
0.102000		0.080000		-1.883161
0.103000		0.080000		-1.730078
0.104000		0.080000		-1.591639
0.105000		0.080000		-1.466245
0.106000		0.080000		-1.352491
0.107000		0.080000		-1.249143
0.108000		0.080000		-1.155111
0.109000		0.080000		-1.069435
0.110000		0.080000		-0.991264
0.111000		0.080000		-0.919845
0.112000		0.080000		-0.854509
0.113000		0.080000		-0.794663
0.114000		0.080000		-0.739777
0.115000		0.080000		-0.689380
0.116000		0.080000		-0.643049
0.117000		0.080000		-0.600408
0.118000		0.080000		-0.561119
0.119000		0.080000		-0.524879
