100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.795758		0.164848		0.108537
0.798182		0.164848		0.110863
0.800606		0.164848		0.113233
0.803030		0.164848		0.115647
0.805455		0.164848		0.118106
0.807879		0.164848		0.120611
0.810303		0.164848		0.123161
0.812727		0.164848		0.125759
0.815152		0.164848		0.128404
0.817576		0.164848		0.131098
0.820000		0.164848		0.133841
0.580000		0.192323		0.012065
0.582424		0.192323		0.012423
0.584848		0.192323		0.012790
0.587273		0.192323		0.013167
0.589697		0.192323		0.013552
0.592121		0.192323		0.013947
0.594545		0.192323		0.014351
0.596970		0.192323		0.014765
0.599394		0.192323		0.015190
0.601818		0.192323		0.015624
0.604242		0.192323		0.016069
0.606667		0.192323		0.016524
0.609091		0.192323		0.016990
0.611515		0.192323		0.017467
0.613939		0.192323		0.017956
0.616364		0.192323		0.018455
0.618788		0.192323		0.018967
0.621212		0.192323		0.019490
0.623636		0.192323		0.020026
0.626061		0.192323		0.020573
0.628485		0.192323		0.021134
0.630909		0.192323		0.021707
0.633333		0.192323		0.022293
0.635758		0.192323		0.022893
0.638182		0.192323		0.023506
0.640606		0.192323		0.024132
0.643030		0.192323		0.024773
0.645455		0.192323		0.025429
0.647879		0.192323		0.026098
0.650303		0.192323		0.026783
0.652727		0.192323		0.027483
0.655152		0.192323		0.028198
0.657576		0.192323		0.028929
0.660000		0.192323		0.029676
0.662424		0.192323		0.030440
0.664848		0.192323		0.031220
0.667273		0.192323		0.032016
0.669697		0.192323		0.032830
0.672121		0.192323		0.033662
0.674545		0.192323		0.034511
0.676970		0.192323		0.035379
0.679394		0.192323		0.036265
0.681818		0.192323		0.037170
0.684242		0.192323		0.038094
0.686667		0.192323		0.039038
0.689091		0.192323		0.040002
0.691515		0.192323		0.040986
0.693939		0.192323		0.041990
0.696364		0.192323		0.043015
0.698788		0.192323		0.044062
0.701212		0.192323		0.045131
0.703636		0.192323		0.046221
0.706061		0.192323		0.047335
0.708485		0.192323		0.048471
0.710909		0.192323		0.049630
0.713333		0.192323		0.050813
0.715758		0.192323		0.052021
0.718182		0.192323		0.053253
0.720606		0.192323		0.054510
0.723030		0.192323		0.055792
0.725455		0.192323		0.057100
0.727879		0.192323		0.058435
0.730303		0.192323		0.059797
0.732727		0.192323		0.061185
0.735152		0.192323		0.062602
0.737576		0.192323		0.064047
0.740000		0.192323		0.065520
0.742424		0.192323		0.067023
0.744848		0.192323		0.068555
