100
100
T [fm^-1]		muB [fm^-1]		betapi_dfce [fm^-4]
0.681818		0.137374		0.086249
0.684242		0.137374		0.088260
0.686667		0.137374		0.090316
0.689091		0.137374		0.092417
0.691515		0.137374		0.094565
0.693939		0.137374		0.096759
0.696364		0.137374		0.099002
0.698788		0.137374		0.101295
0.701212		0.137374		0.103638
0.703636		0.137374		0.106032
0.706061		0.137374		0.108478
0.708485		0.137374		0.110978
0.710909		0.137374		0.113533
0.713333		0.137374		0.116143
0.715758		0.137374		0.118811
0.718182		0.137374		0.121536
0.720606		0.137374		0.124321
0.723030		0.137374		0.127166
0.725455		0.137374		0.130073
0.727879		0.137374		0.133042
0.730303		0.137374		0.136076
0.732727		0.137374		0.139176
0.735152		0.137374		0.142342
0.737576		0.137374		0.145576
0.740000		0.137374		0.148880
0.742424		0.137374		0.152255
0.744848		0.137374		0.155702
0.747273		0.137374		0.159223
0.749697		0.137374		0.162819
0.752121		0.137374		0.166492
0.754545		0.137374		0.170243
0.756970		0.137374		0.174074
0.759394		0.137374		0.177986
0.761818		0.137374		0.181981
0.764242		0.137374		0.186061
0.766667		0.137374		0.190227
0.769091		0.137374		0.194481
0.771515		0.137374		0.198824
0.773939		0.137374		0.203259
0.776364		0.137374		0.207786
0.778788		0.137374		0.212409
0.781212		0.137374		0.217128
0.783636		0.137374		0.221946
0.786061		0.137374		0.226864
0.788485		0.137374		0.231884
0.790909		0.137374		0.237009
0.793333		0.137374		0.242239
0.795758		0.137374		0.247578
0.798182		0.137374		0.253027
0.800606		0.137374		0.258589
0.803030		0.137374		0.264265
0.805455		0.137374		0.270057
0.807879		0.137374		0.275968
0.810303		0.137374		0.281999
0.812727		0.137374		0.288154
0.815152		0.137374		0.294434
0.817576		0.137374		0.300842
0.820000		0.137374		0.307380
0.580000		0.164848		0.031870
0.582424		0.164848		0.032659
0.584848		0.164848		0.033467
0.587273		0.164848		0.034293
0.589697		0.164848		0.035138
0.592121		0.164848		0.036002
0.594545		0.164848		0.036886
0.596970		0.164848		0.037790
0.599394		0.164848		0.038715
0.601818		0.164848		0.039661
0.604242		0.164848		0.040628
0.606667		0.164848		0.041617
0.609091		0.164848		0.042629
0.611515		0.164848		0.043664
0.613939		0.164848		0.044722
0.616364		0.164848		0.045804
0.618788		0.164848		0.046911
0.621212		0.164848		0.048043
0.623636		0.164848		0.049201
0.626061		0.164848		0.050384
0.628485		0.164848		0.051595
0.630909		0.164848		0.052832
0.633333		0.164848		0.054098
0.635758		0.164848		0.055392
0.638182		0.164848		0.056716
0.640606		0.164848		0.058069
0.643030		0.164848		0.059453
0.645455		0.164848		0.060867
0.647879		0.164848		0.062314
0.650303		0.164848		0.063793
0.652727		0.164848		0.065305
0.655152		0.164848		0.066851
