101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.197000		0.070000		6.471406
0.198000		0.070000		6.683013
0.199000		0.070000		6.899736
0.200000		0.070000		7.121648
0.100000		0.080000		0.034640
0.101000		0.080000		0.038047
0.102000		0.080000		0.041723
0.103000		0.080000		0.045684
0.104000		0.080000		0.049948
0.105000		0.080000		0.054530
0.106000		0.080000		0.059449
0.107000		0.080000		0.064723
0.108000		0.080000		0.070371
0.109000		0.080000		0.076414
0.110000		0.080000		0.082871
0.111000		0.080000		0.089764
0.112000		0.080000		0.097115
0.113000		0.080000		0.104945
0.114000		0.080000		0.113279
0.115000		0.080000		0.122140
0.116000		0.080000		0.131552
0.117000		0.080000		0.141542
0.118000		0.080000		0.152135
0.119000		0.080000		0.163359
0.120000		0.080000		0.175240
0.121000		0.080000		0.187807
0.122000		0.080000		0.201090
0.123000		0.080000		0.215118
0.124000		0.080000		0.229922
0.125000		0.080000		0.245534
0.126000		0.080000		0.261986
0.127000		0.080000		0.279311
0.128000		0.080000		0.297543
0.129000		0.080000		0.316717
0.130000		0.080000		0.336868
0.131000		0.080000		0.358033
0.132000		0.080000		0.380249
0.133000		0.080000		0.403554
0.134000		0.080000		0.427987
0.135000		0.080000		0.453588
0.136000		0.080000		0.480397
0.137000		0.080000		0.508455
0.138000		0.080000		0.537805
0.139000		0.080000		0.568491
0.140000		0.080000		0.600555
0.141000		0.080000		0.634043
0.142000		0.080000		0.668999
0.143000		0.080000		0.705472
0.144000		0.080000		0.743507
0.145000		0.080000		0.783153
0.146000		0.080000		0.824459
0.147000		0.080000		0.867474
0.148000		0.080000		0.912249
0.149000		0.080000		0.958835
0.150000		0.080000		1.007285
0.151000		0.080000		1.057650
0.152000		0.080000		1.109985
0.153000		0.080000		1.164345
0.154000		0.080000		1.220783
0.155000		0.080000		1.279357
0.156000		0.080000		1.340123
0.157000		0.080000		1.403137
0.158000		0.080000		1.468459
0.159000		0.080000		1.536147
0.160000		0.080000		1.606261
0.161000		0.080000		1.678860
0.162000		0.080000		1.754005
0.163000		0.080000		1.831758
0.164000		0.080000		1.912181
0.165000		0.080000		1.995337
0.166000		0.080000		2.081288
0.167000		0.080000		2.170099
0.168000		0.080000		2.261834
0.169000		0.080000		2.356558
0.170000		0.080000		2.454337
0.171000		0.080000		2.555235
0.172000		0.080000		2.659321
0.173000		0.080000		2.766661
0.174000		0.080000		2.877322
0.175000		0.080000		2.991372
0.176000		0.080000		3.108879
0.177000		0.080000		3.229913
0.178000		0.080000		3.354542
0.179000		0.080000		3.482835
0.180000		0.080000		3.614863
0.181000		0.080000		3.750694
0.182000		0.080000		3.890401
0.183000		0.080000		4.034053
0.184000		0.080000		4.181721
0.185000		0.080000		4.333476
0.186000		0.080000		4.489390
0.187000		0.080000		4.649534
0.188000		0.080000		4.813979
0.189000		0.080000		4.982799
0.190000		0.080000		5.156064
0.191000		0.080000		5.333847
0.192000		0.080000		5.516220
0.193000		0.080000		5.703256
0.194000		0.080000		5.895025
0.195000		0.080000		6.091602
0.196000		0.080000		6.293058
0.197000		0.080000		6.499465
0.198000		0.080000		6.710897
0.199000		0.080000		6.927424
0.200000		0.080000		7.149120
0.100000		0.090000		0.036991
0.101000		0.090000		0.040576
0.102000		0.090000		0.044440
0.103000		0.090000		0.048598
0.104000		0.090000		0.053067
0.105000		0.090000		0.057864
0.106000		0.090000		0.063008
0.107000		0.090000		0.068517
0.108000		0.090000		0.074410
